513800,391095,391093,"5.1","",50,40,"Károly Király","utca","O",21,23,"E",18,20,"Budaörs"
513805,391100,391099,"5.1","",50,40,"Csata","utca","O",13,23,"E",14,18,"Budaörs"
513806,391093,391100,"5.1","",50,40,"Károly Király","utca","O",25,83,"E",22,82,"Budaörs"
513879,391150,391153,"6","",50,30,"Szakály Mátyás","utca","E",2,36,"O",1,7,"Budaörs"
513882,391156,391155,"6","",50,30,"Farkasréti","utca","",0,0,"E",36,36,"Budaörs"
513885,391156,391159,"6","",50,30,"Farkasréti","utca","",0,0,"E",38,44,"Budaörs"
513886,391159,391160,"6","",50,30,"Farkasréti","utca","",0,0,"E",46,46,"Budaörs"
513889,391160,391162,"6","",50,30,"Farkasréti","utca","O",53,61,"E",48,52,"Budaörs"
513891,391162,391163,"6","",50,30,"Farkasréti","utca","O",63,63,"E",54,54,"Budaörs"
513892,391163,391164,"6","",50,30,"Farkasréti","utca","O",65,69,"E",56,60,"Budaörs"
513893,391164,391165,"6","",50,30,"Farkasréti","utca","O",71,73,"E",62,64,"Budaörs"
513894,391165,391166,"6","",50,30,"Farkasréti","utca","O",75,77,"E",66,70,"Budaörs"
513895,391166,391167,"6","",50,30,"Farkasréti","utca","O",79,79,"E",72,72,"Budaörs"
513896,391167,391168,"6","",50,30,"Farkasréti","utca","O",81,83,"E",74,74,"Budaörs"
513897,391168,391169,"6","",50,30,"Farkasréti","utca","O",85,91,"E",76,84,"Budaörs"
513898,391169,391170,"6","",50,30,"Farkasréti","utca","",0,0,"E",86,86,"Budaörs"
513899,391170,391171,"6","",50,30,"Farkasréti","utca","O",93,93,"E",88,92,"Budaörs"
513900,391171,391172,"6","",50,30,"Farkasréti","utca","O",95,95,"E",94,94,"Budaörs"
513901,391172,391173,"6","",50,30,"Farkasréti","utca","O",97,103,"E",96,102,"Budaörs"
513902,391173,391174,"6","",50,30,"Farkasréti","utca","O",105,113,"E",104,110,"Budaörs"
513903,391174,391132,"6","",50,30,"Farkasréti","utca","O",115,115,"E",112,112,"Budaörs"
516147,390897,391188,"6","",50,30,"Alsóhatár","utca","O",1,5,"E",2,6,"Budapest"
513913,391189,391190,"7","",50,22,"Alsóhatár","utca","",0,0,"E",34,38,"Budapest"
513914,391191,391189,"6","",50,30,"Alsóhatár","utca","",0,0,"E",28,32,"Budapest"
513915,391188,391192,"6","",50,30,"Alsóhatár","utca","O",7,11,"E",8,12,"Budapest"
513916,391193,391191,"6","",50,30,"Alsóhatár","utca","",0,0,"E",14,26,"Budapest"
513917,391192,391193,"6","",50,30,"Alsóhatár","utca","",0,0,"E",14,26,"Budapest"
513951,391225,390850,"7","",50,22,"Meredek","utca","O",1,5,"E",2,6,"Budaörs"
513952,391222,391226,"7","",50,8,"Muskátli","utca","O",3,37,"",0,0,"Budaörs"
513956,391227,391230,"7","",50,8,"Hóvirág","utca","O",3,49,"E",2,54,"Budaörs"
513959,391233,391230,"7","",50,8,"Aranyesõ","utca","O",1,13,"E",2,14,"Budaörs"
513961,391231,391235,"7","",50,8,"Orgona","utca","O",3,51,"E",2,52,"Budaörs"
513963,391236,391234,"7","",50,8,"Szirom","utca","O",1,13,"E",2,14,"Budaörs"
513965,391237,391232,"7","",50,22,"Hold","utca","O",1,15,"E",2,14,"Budaörs"
513972,391242,391240,"7","",50,22,"Hortenzia","utca","O",1,5,"E",2,8,"Budaörs"
513977,390851,391244,"7","",50,8,"Bimbó","utca","O",1,51,"E",4,52,"Budaörs"
513980,391250,390852,"7","",50,22,"Csíki","utca","E",22,24,"O",41,45,"Budaörs"
513982,391249,391246,"7","",50,8,"Pitypang","utca","E",12,18,"O",9,23,"Budaörs"
513983,391250,391245,"7","",50,22,"Orchidea","utca","E",2,10,"O",1,7,"Budaörs"
513985,391252,391246,"7","",50,8,"Rézvirág","utca","O",1,1,"E",2,2,"Budaörs"
513986,391253,391248,"7","",50,22,"Fügefa","utca","O",69,89,"E",84,130,"Budaörs"
513987,391254,391251,"7","",50,8,"Rezeda","utca","E",68,80,"",0,0,"Budaörs"
513989,390854,391254,"7","",50,22,"Levendula","utca","O",1,31,"E",2,32,"Budaörs"
513990,391256,391252,"7","",50,22,"Bazsarózsa","utca","O",31,39,"",0,0,"Budaörs"
513991,391257,391254,"7","",50,8,"Rezeda","utca","E",52,66,"",0,0,"Budaörs"
513993,390856,391250,"7","",50,22,"Csíki","utca","E",2,20,"O",1,39,"Budaörs"
513994,390855,391257,"7","",50,8,"Margaréta","utca","E",2,22,"O",3,19,"Budaörs"
513995,391253,391258,"7","",50,22,"Séta","utca","O",7,9,"E",6,6,"Budaörs"
513996,391260,391253,"7","",50,22,"Séta","utca","O",1,5,"E",2,4,"Budaörs"
513997,391261,391257,"7","",50,22,"Rezeda","utca","E",32,50,"",0,0,"Budaörs"
514004,390856,391261,"6","",50,30,"Törökugrató","utca","O",1,13,"E",2,16,"Budaörs"
514005,391268,391263,"7","",50,22,"Som","utca","O",47,47,"",0,0,"Budaörs"
514008,391261,391266,"6","",50,30,"Törökugrató","utca","O",15,45,"E",18,34,"Budaörs"
514011,391274,391268,"7","",50,22,"Som","utca","O",25,45,"",0,0,"Budaörs"
514012,391266,391275,"7","",50,22,"Törökugrató","utca","O",47,57,"E",36,48,"Budaörs"
514013,391276,391261,"6","",50,30,"Rezeda","utca","E",2,30,"",0,0,"Budaörs"
514014,391271,391259,"7","",50,22,"Bazsarózsa","utca","O",1,15,"",0,0,"Budaörs"
514017,391280,391253,"7","",50,22,"Fügefa","utca","O",1,67,"E",4,82,"Budaörs"
514018,391279,391281,"7","",50,22,"Sás","utca","E",10,12,"E",16,14,"Budaörs"
514020,391274,391279,"7","",50,22,"Sás","utca","E",2,8,"",0,0,"Budaörs"
514021,390858,391276,"7","",50,22,"Kökörcsin","utca","O",1,11,"",0,0,"Budaörs"
514024,391280,391274,"7","",50,22,"Som","utca","O",9,23,"",0,0,"Budaörs"
